,dataset_name,num_series,num_stat,pct_stat,mean_series_len,std_series_len,min_series_len,max_series_len,pct_nonstat,mean_series_len_string
0,australian_electricity_demand_dataset.tsf,5,5,1.0,231052.8,609.883,230736,232272,0.0,231052.8 ± 609.883
1,bitcoin_dataset_without_missing_values.tsf,18,6,0.3333333333333333,4186.889,467.274,2659,4581,0.6666666666666667,4186.889 ± 467.274
2,bitcoin_dataset_with_missing_values.tsf,18,6,0.3333333333333333,4581.0,0.0,4581,4581,0.6666666666666667,4581.0 ± 0.0
3,car_parts_dataset_without_missing_values.tsf,2674,2145,0.8021690351533284,51.0,0.0,51,51,0.1978309648466716,51.0 ± 0.0
4,car_parts_dataset_with_missing_values.tsf,2674,2089,0.781226626776365,51.0,0.0,51,51,0.218773373223635,51.0 ± 0.0
5,cif_2016_dataset.tsf,72,4,0.0555555555555555,98.722,31.64,28,120,0.9444444444444444,98.722 ± 31.64
6,covid_deaths_dataset.tsf,266,60,0.225563909774436,212.0,0.0,212,212,0.774436090225564,212.0 ± 0.0
7,dominick_dataset.tsf,115704,71704,0.6197192836894143,165.016,105.514,28,393,0.3802807163105857,165.016 ± 105.514
8,electricity_hourly_dataset.tsf,321,315,0.9813084112149532,26304.0,0.0,26304,26304,0.0186915887850468,26304.0 ± 0.0
9,electricity_weekly_dataset.tsf,321,186,0.5794392523364486,156.0,0.0,156,156,0.4205607476635514,156.0 ± 0.0
10,fred_md_dataset.tsf,107,14,0.1308411214953271,728.0,0.0,728,728,0.8691588785046729,728.0 ± 0.0
11,hospital_dataset.tsf,767,370,0.4823989569752281,84.0,0.0,84,84,0.517601043024772,84.0 ± 0.0
12,kaggle_web_traffic_weekly_dataset.tsf,145063,117560,0.8104065130322687,114.0,0.0,114,114,0.1895934869677312,114.0 ± 0.0
13,kdd_cup_2018_dataset_without_missing_values.tsf,270,270,1.0,10897.644,85.456,9504,10920,0.0,10897.644 ± 85.456
14,kdd_cup_2018_dataset_with_missing_values.tsf,270,270,1.0,10897.644,85.456,9504,10920,0.0,10897.644 ± 85.456
15,m1_monthly_dataset.tsf,617,84,0.1361426256077795,90.759,28.673,48,150,0.8638573743922204,90.759 ± 28.673
16,m1_quarterly_dataset.tsf,203,14,0.0689655172413793,48.985,16.87,18,114,0.9310344827586208,48.985 ± 16.87
17,m1_yearly_dataset.tsf,181,22,0.1215469613259668,24.945,8.754,15,58,0.8784530386740332,24.945 ± 8.754
18,m3_monthly_dataset.tsf,1428,322,0.2254901960784313,117.34,28.499,66,144,0.7745098039215688,117.34 ± 28.499
19,m3_quarterly_dataset.tsf,756,61,0.0806878306878306,48.947,10.628,24,72,0.9193121693121694,48.947 ± 10.628
20,m3_yearly_dataset.tsf,645,105,0.1627906976744186,28.402,9.89,20,47,0.8372093023255814,28.402 ± 9.89
21,m4_daily_dataset.tsf,4227,195,0.0461320085166784,2371.383,1756.361,107,9933,0.9538679914833216,2371.383 ± 1756.361
22,m4_hourly_dataset.tsf,414,181,0.4371980676328502,901.865,127.791,748,1008,0.5628019323671498,901.865 ± 127.791
23,m4_monthly_dataset.tsf,48000,6076,0.1265833333333333,234.3,137.405,60,2812,0.8734166666666667,234.3 ± 137.405
24,m4_quarterly_dataset.tsf,24000,2198,0.0915833333333333,100.254,51.128,24,874,0.9084166666666668,100.254 ± 51.128
25,m4_weekly_dataset.tsf,359,84,0.233983286908078,1035.039,706.163,93,2610,0.766016713091922,1035.039 ± 706.163
26,m4_yearly_dataset.tsf,23000,2116,0.092,37.324,24.523,19,841,0.908,37.324 ± 24.523
27,nn5_daily_dataset_without_missing_values.tsf,111,98,0.8828828828828829,791.0,0.0,791,791,0.1171171171171171,791.0 ± 0.0
28,nn5_daily_dataset_with_missing_values.tsf,111,98,0.8828828828828829,791.0,0.0,791,791,0.1171171171171171,791.0 ± 0.0
29,nn5_weekly_dataset.tsf,111,85,0.7657657657657657,113.0,0.0,113,113,0.2342342342342342,113.0 ± 0.0
30,pedestrian_counts_dataset.tsf,66,65,0.9848484848484848,47459.788,30762.855,576,96424,0.0151515151515152,47459.788 ± 30762.855
31,rideshare_dataset_without_missing_values.tsf,2304,368,0.1597222222222222,541.0,0.0,541,541,0.8402777777777778,541.0 ± 0.0
32,rideshare_dataset_with_missing_values.tsf,2304,2189,0.9500868055555556,541.0,0.0,541,541,0.0499131944444444,541.0 ± 0.0
33,saugeenday_dataset.tsf,1,1,1.0,23741.0,0.0,23741,23741,0.0,23741.0 ± 0.0
34,solar_10_minutes_dataset.tsf,137,137,1.0,52560.0,0.0,52560,52560,0.0,52560.0 ± 0.0
35,solar_4_seconds_dataset.tsf,1,1,1.0,7397222.0,0.0,7397222,7397222,0.0,7397222.0 ± 0.0
36,solar_weekly_dataset.tsf,137,5,0.0364963503649635,52.0,0.0,52,52,0.9635036496350364,52.0 ± 0.0
37,sunspot_dataset_without_missing_values.tsf,1,1,1.0,73924.0,0.0,73924,73924,0.0,73924.0 ± 0.0
38,sunspot_dataset_with_missing_values.tsf,1,1,1.0,73924.0,0.0,73924,73924,0.0,73924.0 ± 0.0
39,temperature_rain_dataset_without_missing_values.tsf,32072,29790,0.9288475929159392,725.0,0.0,725,725,0.0711524070840607,725.0 ± 0.0
40,temperature_rain_dataset_with_missing_values.tsf,32072,29619,0.9235158393614368,725.0,0.0,725,725,0.0764841606385632,725.0 ± 0.0
41,tourism_monthly_dataset.tsf,366,3,0.0081967213114754,298.579,55.575,91,333,0.9918032786885246,298.579 ± 55.575
42,tourism_quarterly_dataset.tsf,427,4,0.009367681498829,99.635,20.313,30,130,0.990632318501171,99.635 ± 20.313
43,tourism_yearly_dataset.tsf,518,46,0.0888030888030888,24.627,5.331,11,47,0.9111969111969112,24.627 ± 5.331
44,traffic_hourly_dataset.tsf,862,862,1.0,17544.0,0.0,17544,17544,0.0,17544.0 ± 0.0
45,traffic_weekly_dataset.tsf,862,476,0.5522041763341067,104.0,0.0,104,104,0.4477958236658933,104.0 ± 0.0
46,us_births_dataset.tsf,1,1,1.0,7305.0,0.0,7305,7305,0.0,7305.0 ± 0.0
47,vehicle_trips_dataset_without_missing_values.tsf,329,124,0.3768996960486322,128.821,39.561,70,243,0.6231003039513678,128.821 ± 39.561
48,vehicle_trips_dataset_with_missing_values.tsf,329,169,0.513677811550152,128.821,39.561,70,243,0.486322188449848,128.821 ± 39.561
49,weather_dataset.tsf,3010,2977,0.9890365448504984,14296.346,11097.639,1332,65981,0.0109634551495015,14296.346 ± 11097.639
50,wind_4_seconds_dataset.tsf,1,1,1.0,7397147.0,0.0,7397147,7397147,0.0,7397147.0 ± 0.0
