,dataset_name,num_series,num_stat,pct_stat,mean_series_len,std_series_len,min_series_len,max_series_len,pct_nonstat,mean_series_len_string
0,constant,10,10,1.0,30.0,0.0,30,30,0.0,30.0 ± 0.0
1,exchange_rate,40,0,0.0,6161.0,42.426,6101,6221,1.0,6161.0 ± 42.426
2,solar-energy,959,959,1.0,7105.0,48.0,7033,7177,0.0,7105.0 ± 48.0
3,electricity,2247,2177,0.968847352024922,21140.0,48.0,21068,21212,0.0311526479750779,21140.0 ± 48.0
4,traffic,6034,6034,1.0,14132.0,48.0,14060,14204,0.0,14132.0 ± 48.0
5,exchange_rate_nips,40,0,0.0,6161.0,42.426,6101,6221,1.0,6161.0 ± 42.426
6,electricity_nips,2590,2179,0.8413127413127414,3992.37,146.584,1105,4000,0.1586872586872586,3992.37 ± 146.584
7,traffic_nips,6741,6628,0.9832369084705532,4000.0,0.0,4000,4000,0.0167630915294467,4000.0 ± 0.0
8,solar_nips,959,959,1.0,7105.0,48.0,7033,7177,0.0,7105.0 ± 48.0
9,wiki2000_nips,10000,7107,0.7107,852.0,42.426,792,912,0.2893,852.0 ± 42.426
10,wiki-rolling_nips,47675,34047,0.7141478762454117,852.0,42.426,792,912,0.2858521237545883,852.0 ± 42.426
11,taxi_30min,67984,67678,0.995498940927277,809.0,387.918,149,1469,0.004501059072723,809.0 ± 387.918
12,kaggle_web_traffic_with_missing,145063,127847,0.8813205297008886,803.0,0.0,803,803,0.1186794702991114,803.0 ± 0.0
13,kaggle_web_traffic_without_missing,145063,127379,0.8780943452155271,803.0,0.0,803,803,0.1219056547844729,803.0 ± 0.0
14,kaggle_web_traffic_weekly,145063,117560,0.8104065130322687,114.0,0.0,114,114,0.1895934869677312,114.0 ± 0.0
15,m1_yearly,181,22,0.1215469613259668,24.945,8.754,15,58,0.8784530386740332,24.945 ± 8.754
16,m1_quarterly,203,14,0.0689655172413793,48.985,16.87,18,114,0.9310344827586208,48.985 ± 16.87
17,m1_monthly,617,84,0.1361426256077795,90.759,28.673,48,150,0.8638573743922204,90.759 ± 28.673
18,nn5_daily_with_missing,111,98,0.8828828828828829,791.0,0.0,791,791,0.1171171171171171,791.0 ± 0.0
19,nn5_daily_without_missing,111,98,0.8828828828828829,791.0,0.0,791,791,0.1171171171171171,791.0 ± 0.0
20,nn5_weekly,111,85,0.7657657657657657,113.0,0.0,113,113,0.2342342342342342,113.0 ± 0.0
21,tourism_monthly,366,3,0.0081967213114754,298.579,55.575,91,333,0.9918032786885246,298.579 ± 55.575
22,tourism_quarterly,427,4,0.009367681498829,99.635,20.313,30,130,0.990632318501171,99.635 ± 20.313
