values_fd,values_o
7324.39990234375,7324.4
6469.260205078125,7201.7
6146.6318872070315,7196.4
5924.538103759765,7177.0
5742.473233502198,7140.6
5496.526940605836,7005.5
5446.611233243342,7034.2
5461.504501337362,7124.0
5460.296750793368,7196.8
5391.507593548354,7196.8
5308.382592796937,7170.9
5208.3344983180705,7118.6
5241.617967006672,7190.7
5191.384123958473,7185.7
5131.440755787562,7164.2
5093.10302070775,7158.9
5098.946823127351,7195.8
5117.27951519783,7247.3
5066.16226892381,7230.8
5063.190045006434,7255.8
5011.064989274626,7232.5
4979.629085749064,7224.6
4956.896023345271,7224.1
4920.808004504529,7209.6
4884.43034356965,7192.5
4839.943238338501,7165.5
4853.30975009054,7194.0
4832.323541486982,7192.1
4858.472341537818,7235.5
4856.786978503647,7254.7
4848.282101998258,7266.0
4862.079426296065,7298.4
4875.935857445169,7332.3
4879.006485207174,7356.0
4871.868674591782,7368.7
4863.907034030759,7379.1
4826.15489098977,7358.7
4793.747901932353,7339.9
4814.589555440407,7372.6
4847.227594203274,7421.0
4828.0564863986565,7420.5
4815.413166458024,7423.0
4817.757057390147,7439.4
4843.13056341548,7479.5
4878.853595938666,7532.4
4841.182759420919,7514.2
4842.069575949887,7528.6
4737.060859128704,7437.9
4770.003675717956,7474.6
4803.1887587968085,7519.4
4774.499309662922,7505.7
4743.207722287598,7485.2
4747.725404187015,7498.2
4718.987908856329,7480.0
4715.7760298913645,7484.8
4705.127829545197,7483.3
4747.164209666207,7534.1
4757.21236536678,7557.9
4753.422719946603,7567.3
4709.1995365976445,7534.9
4705.884549959395,7538.7
4721.937093734943,7563.3
4774.590128903627,7626.8
4776.222378949598,7644.1
4757.203697884657,7638.4
4756.523532003173,7648.1
4661.922505439142,7564.1
4700.5169489528735,7603.8
4669.805900600961,7582.2
4566.365614736689,7484.5
4550.329741530844,7465.3
4613.484649625916,7528.9
4585.008188350565,7509.9
4498.399316803353,7428.4
4488.626701564341,7416.1
4466.597650144198,7394.9
4505.141727912351,7434.2
4504.054425446263,7439.8
4501.378665933891,7443.0
4457.514249541225,7404.8
4338.591510672404,7287.4
4299.422303176811,7240.0
4327.369635644558,7262.0
4369.821396589459,7305.5
4372.0004028099465,7313.7
4330.838456690822,7277.6
4344.62875772324,7292.1
4372.061727975522,7323.5
4371.10584347291,7329.4
4364.554819278796,7328.6
4355.076336085771,7324.0
4359.416404744883,7332.5
4360.899671530093,7339.1
4355.208375090367,7338.7
4381.291767075983,7369.5
4400.981576908151,7396.8
4436.3519916539535,7440.7
4385.02526553664,7400.2
4333.221217127495,7352.0
4290.144529787442,7308.8
4242.278579502437,7259.2
4221.873417819306,7235.2
4224.541755421079,7235.6
4178.563768821728,7190.0
4193.527067126045,7201.8
4207.5442293478945,7216.9
4180.30238877281,7192.7
4131.518300523832,7144.1
4131.73826313462,7141.0
4191.5194483757205,7200.3
4211.035768259955,7226.5
4177.8905983959885,7200.0
4183.950205517613,7208.0
4147.404747916572,7175.0
4133.962661352108,7161.5
4140.944999934388,7168.8
4148.154948214976,7178.3
4149.862170801893,7183.3
4175.776093952565,7212.6
4128.905339481353,7171.7
4078.531452106361,7121.5
4115.35053246642,7155.2
4126.812538738213,7170.1
4111.334755608373,7158.7
4110.188920436751,7159.6
4091.4560958521515,7143.4
4038.7955138461084,7091.7
4010.1830783177593,7059.8
4024.431889799728,7070.7
4032.943983654753,7079.7
3947.8432648304865,6996.4
3915.0116441818172,6956.9
3837.8507366124795,6873.8
3865.8495090691813,6891.2
3920.445567724723,6942.9
3893.7001399033848,6919.6
3902.382553227626,6927.4
3856.782659246641,6882.7
3873.7919018313764,6896.1
3873.1776616459383,6895.8
3838.1656654693156,6861.2
3755.9543966284646,6776.2
3725.8397933089796,6736.9
3711.953496785184,6715.3
3647.5678594526335,6645.0
3693.4510069149987,6680.7
3815.7605105235994,6801.5
3793.5529047605205,6789.8
3744.295920280637,6743.7
3696.6928655745323,6693.7
3723.183261469958,6714.9
3737.640636994592,6729.5
3683.6096006302887,6677.0
3695.3201826576915,6684.4
3740.6605552752308,6729.0
3818.9484903887233,6811.5
3788.896707446317,6791.8
3704.7525320187215,6711.0
3733.5413728223198,6734.6
3741.415495276701,6743.7
3771.0879120421546,6775.3
3787.3149148892408,6796.2
3844.362730447504,6858.2
3767.7945676199,6791.1
3813.935483426568,6836.0
3805.517755157219,6833.2
