,dataset_name,num_series,num_stat,pct_stat,mean_series_len,std_series_len,min_series_len,max_series_len
0,australian_electricity_demand_dataset.tsf,5,5,1.0,231052.8,609.8833986919138,230736,232272
1,bitcoin_dataset_without_missing_values.tsf,18,6,0.3333333333333333,4186.888888888889,467.273758552841,2659,4581
2,bitcoin_dataset_with_missing_values.tsf,18,6,0.3333333333333333,4581.0,0.0,4581,4581
3,car_parts_dataset_without_missing_values.tsf,2674,2145,0.8021690351533284,51.0,0.0,51,51
4,car_parts_dataset_with_missing_values.tsf,2674,2089,0.781226626776365,51.0,0.0,51,51
5,cif_2016_dataset.tsf,72,4,0.05555555555555555,98.72222222222223,31.639559548057264,28,120
6,covid_deaths_dataset.tsf,266,60,0.22556390977443608,212.0,0.0,212,212
7,dominick_dataset.tsf,115704,71704,0.6197192836894143,165.01579029247046,105.5136829166948,28,393
8,electricity_hourly_dataset.tsf,321,315,0.9813084112149533,26304.0,0.0,26304,26304
9,electricity_weekly_dataset.tsf,321,186,0.5794392523364486,156.0,0.0,156,156
10,fred_md_dataset.tsf,107,14,0.1308411214953271,728.0,0.0,728,728
11,hospital_dataset.tsf,767,370,0.48239895697522817,84.0,0.0,84,84
12,kaggle_web_traffic_weekly_dataset.tsf,145063,117560,0.8104065130322687,114.0,0.0,114,114
13,kdd_cup_2018_dataset_without_missing_values.tsf,270,270,1.0,10897.644444444444,85.45646209374834,9504,10920
14,kdd_cup_2018_dataset_with_missing_values.tsf,270,270,1.0,10897.644444444444,85.45646209374834,9504,10920
15,m1_monthly_dataset.tsf,617,84,0.13614262560777957,90.75850891410049,28.67254962204315,48,150
16,m1_quarterly_dataset.tsf,203,14,0.06896551724137931,48.98522167487685,16.87026060649793,18,114
17,m1_yearly_dataset.tsf,181,22,0.12154696132596685,24.944751381215468,8.753672477552838,15,58
18,m3_monthly_dataset.tsf,1428,322,0.22549019607843138,117.34033613445378,28.498569877119714,66,144
19,m3_quarterly_dataset.tsf,756,61,0.08068783068783068,48.94708994708995,10.628396350904003,24,72
20,m3_yearly_dataset.tsf,645,105,0.16279069767441862,28.4015503875969,9.890485479624086,20,47
21,m4_daily_dataset.tsf,4227,195,0.046132008516678494,2371.38301395789,1756.361125547874,107,9933
22,m4_hourly_dataset.tsf,414,181,0.43719806763285024,901.864734299517,127.79074480107495,748,1008
23,m4_monthly_dataset.tsf,48000,6076,0.12658333333333333,234.30022916666667,137.40486378441685,60,2812
24,m4_quarterly_dataset.tsf,24000,2198,0.09158333333333334,100.2545,51.128441821390695,24,874
25,m4_weekly_dataset.tsf,359,84,0.233983286908078,1035.0389972144847,706.1628814886188,93,2610
26,m4_yearly_dataset.tsf,23000,2116,0.092,37.324260869565215,24.523433037239034,19,841
27,nn5_daily_dataset_without_missing_values.tsf,111,98,0.8828828828828829,791.0,0.0,791,791
28,nn5_daily_dataset_with_missing_values.tsf,111,98,0.8828828828828829,791.0,0.0,791,791
29,nn5_weekly_dataset.tsf,111,85,0.7657657657657657,113.0,0.0,113,113
30,pedestrian_counts_dataset.tsf,66,65,0.9848484848484849,47459.78787878788,30762.85517520703,576,96424
31,rideshare_dataset_without_missing_values.tsf,2304,368,0.1597222222222222,541.0,0.0,541,541
32,rideshare_dataset_with_missing_values.tsf,2304,2189,0.9500868055555556,541.0,0.0,541,541
33,saugeenday_dataset.tsf,1,1,1.0,23741.0,0.0,23741,23741
34,solar_10_minutes_dataset.tsf,137,137,1.0,52560.0,0.0,52560,52560
35,solar_4_seconds_dataset.tsf,1,1,1.0,7397222.0,0.0,7397222,7397222
36,solar_weekly_dataset.tsf,137,5,0.0364963503649635,52.0,0.0,52,52
37,sunspot_dataset_without_missing_values.tsf,1,1,1.0,73924.0,0.0,73924,73924
38,sunspot_dataset_with_missing_values.tsf,1,1,1.0,73924.0,0.0,73924,73924
39,temperature_rain_dataset_without_missing_values.tsf,32072,29790,0.9288475929159391,725.0,0.0,725,725
40,temperature_rain_dataset_with_missing_values.tsf,32072,29619,0.9235158393614368,725.0,0.0,725,725
41,tourism_monthly_dataset.tsf,366,3,0.00819672131147541,298.57923497267757,55.57541034918507,91,333
42,tourism_quarterly_dataset.tsf,427,4,0.00936768149882904,99.63466042154566,20.312834801464117,30,130
43,tourism_yearly_dataset.tsf,518,46,0.0888030888030888,24.627413127413128,5.331318325156734,11,47
44,traffic_hourly_dataset.tsf,862,862,1.0,17544.0,0.0,17544,17544
45,traffic_weekly_dataset.tsf,862,476,0.5522041763341067,104.0,0.0,104,104
46,us_births_dataset.tsf,1,1,1.0,7305.0,0.0,7305,7305
47,vehicle_trips_dataset_without_missing_values.tsf,329,124,0.3768996960486322,128.8206686930091,39.560826908605776,70,243
48,vehicle_trips_dataset_with_missing_values.tsf,329,169,0.513677811550152,128.8206686930091,39.560826908605776,70,243
49,weather_dataset.tsf,3010,2977,0.9890365448504983,14296.345514950166,11097.638867110672,1332,65981
50,wind_4_seconds_dataset.tsf,1,1,1.0,7397147.0,0.0,7397147,7397147
