,dataset_name,num_series,num_stat,pct_stat,mean_series_len,std_series_len,min_series_len,max_series_len
0,constant,10,10,1.0,30.0,0.0,30,30
1,exchange_rate,40,0,0.0,6161.0,42.42640687119285,6101,6221
2,solar-energy,959,959,1.0,7105.0,48.0,7033,7177
3,electricity,2247,2177,0.9688473520249221,21140.0,48.0,21068,21212
4,traffic,6034,6034,1.0,14132.0,48.0,14060,14204
5,exchange_rate_nips,40,0,0.0,6161.0,42.42640687119285,6101,6221
6,electricity_nips,2590,2179,0.8413127413127414,3992.3702702702703,146.58356414791305,1105,4000
7,traffic_nips,6741,6628,0.9832369084705533,4000.0,0.0,4000,4000
8,solar_nips,959,959,1.0,7105.0,48.0,7033,7177
9,wiki2000_nips,10000,7107,0.7107,852.0,42.42640687119285,792,912
10,wiki-rolling_nips,47675,34047,0.7141478762454117,852.0,42.42640687119285,792,912
11,taxi_30min,67984,67678,0.995498940927277,809.0,387.9175170058707,149,1469
12,kaggle_web_traffic_with_missing,145063,127847,0.8813205297008886,803.0,0.0,803,803
13,kaggle_web_traffic_without_missing,145063,127379,0.8780943452155271,803.0,0.0,803,803
14,kaggle_web_traffic_weekly,145063,117560,0.8104065130322687,114.0,0.0,114,114
15,m1_yearly,181,22,0.12154696132596685,24.944751381215468,8.75367247755284,15,58
16,m1_quarterly,203,14,0.06896551724137931,48.98522167487685,16.87026060649793,18,114
17,m1_monthly,617,84,0.13614262560777957,90.75850891410049,28.67254962204315,48,150
18,nn5_daily_with_missing,111,98,0.8828828828828829,791.0,0.0,791,791
19,nn5_daily_without_missing,111,98,0.8828828828828829,791.0,0.0,791,791
20,nn5_weekly,111,85,0.7657657657657657,113.0,0.0,113,113
21,tourism_monthly,366,3,0.00819672131147541,298.57923497267757,55.57541034918507,91,333
22,tourism_quarterly,427,4,0.00936768149882904,99.63466042154566,20.312834801464117,30,130
23,tourism_yearly,518,46,0.0888030888030888,24.627413127413128,5.331318325156734,11,47
24,cif_2016,72,4,0.05555555555555555,98.72222222222223,31.639559548057264,28,120
25,london_smart_meters_without_missing,5560,5544,0.9971223021582734,29951.240287769786,5262.991176055704,288,39648
26,car_parts_without_missing,2674,2145,0.8021690351533284,51.0,0.0,51,51
27,dominick,115704,71704,0.6197192836894143,165.01579029247046,105.51368291669482,28,393
28,fred_md,107,14,0.1308411214953271,728.0,0.0,728,728
29,pedestrian_counts,66,65,0.9848484848484849,47459.78787878788,30762.85517520703,576,96424
30,hospital,767,370,0.48239895697522817,84.0,0.0,84,84
31,covid_deaths,266,60,0.22556390977443608,212.0,0.0,212,212
32,kdd_cup_2018_without_missing,270,270,1.0,10897.644444444444,85.45646209374834,9504,10920
33,weather,3010,2977,0.9890365448504983,14296.345514950166,11097.638867110672,1332,65981
34,m4_hourly,414,181,0.43719806763285024,901.864734299517,127.79074480107495,748,1008
35,m4_daily,4227,195,0.046132008516678494,2371.38301395789,1756.361125547874,107,9933
36,m4_weekly,359,84,0.233983286908078,1035.0389972144847,706.162881488619,93,2610
37,m4_monthly,48000,6076,0.12658333333333333,234.30022916666667,137.40486378441685,60,2812
38,m4_quarterly,24000,2198,0.09158333333333334,100.2545,51.128441821390695,24,874
39,m4_yearly,22974,2111,0.09188648036911291,36.7854531209193,17.561130155810257,19,284
40,uber_tlc_daily,262,25,0.09541984732824428,179.72137404580153,8.231075983883038,110,181
41,uber_tlc_hourly,262,262,1.0,4310.854961832061,200.61567914710713,2626,4344
42,airpassengers,1,0,0.0,144.0,0.0,144,144
43,australian_electricity_demand,5,5,1.0,231052.8,609.8833986919138,230736,232272
44,electricity_hourly,321,315,0.9813084112149533,26304.0,0.0,26304,26304
45,electricity_weekly,321,186,0.5794392523364486,156.0,0.0,156,156
46,rideshare_without_missing,2304,368,0.1597222222222222,541.0,0.0,541,541
47,solar_weekly,137,5,0.0364963503649635,52.0,0.0,52,52
48,sunspot_without_missing,1,1,1.0,73924.0,0.0,73924,73924
49,temperature_rain_without_missing,32072,29790,0.9288475929159391,725.0,0.0,725,725
50,vehicle_trips_without_missing,329,124,0.3768996960486322,128.8206686930091,39.56082690860578,70,243
51,ercot,8,8,1.0,154854.0,0.0,154854,154854
52,ett_small_15min,14,14,1.0,69680.0,0.0,69680,69680
53,ett_small_1h,14,13,0.9285714285714286,17420.0,0.0,17420,17420
