"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IT000016090","1945-05-18","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  255","H,,S"
"IT000016090","1945-05-19","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  252","H,,S"
"IT000016090","1945-05-20","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  255","H,,S"
"IT000016090","1945-05-21","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  249","H,,S"
"IT000016090","1945-05-22","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  218","H,,S"
"IT000016090","1945-05-23","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  185","H,,S"
"IT000016090","1945-05-24","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  188","H,,S"
"IT000016090","1945-05-25","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  192","H,,S"
"IT000016090","1945-05-26","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  176","H,,S"
"IT000016090","1945-05-27","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  185","H,,S"
"IT000016090","1945-05-28","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  197","H,,S"
"IT000016090","1945-05-29","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  189","H,,S"
"IT000016090","1945-05-30","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  190","H,,S"
"IT000016090","1945-05-31","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  185","H,,S"
"IT000016090","1945-06-01","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  192","H,,S"
"IT000016090","1945-06-02","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  204","H,,S"
"IT000016090","1945-06-03","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  214","H,,S"
"IT000016090","1945-06-04","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  227","H,,S"
"IT000016090","1945-06-05","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  239","H,,S"
"IT000016090","1945-06-06","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  247","H,,S"
"IT000016090","1945-06-07","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  263","H,,S"
"IT000016090","1945-06-08","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  266","H,,S"
"IT000016090","1945-06-09","45.3831","10.8667","68.0","VERONA VILLAFRANCA, IT",,,,,,,,,"  271","H,,S"
