"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IT000016134","1951-01-01","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    4",",,G","  -64",",,G",,
"IT000016134","1951-01-02","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    5",",,G","  -43",",,G",,
"IT000016134","1951-01-03","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -10",",,G","  -20",",,G",,
"IT000016134","1951-01-04","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    4",",,G","  -22",",,G",,
"IT000016134","1951-01-05","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -6",",,G","  -24",",,G",,
"IT000016134","1951-01-06","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    4",",,G","  -20",",,G",,
"IT000016134","1951-01-07","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -8",",,G","  -38",",,G",,
"IT000016134","1951-01-08","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -4",",,G","  -35",",,G",,
"IT000016134","1951-01-09","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    2",",,G","  -28",",,G",,
"IT000016134","1951-01-10","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -4",",,G","  -40",",,G",,
"IT000016134","1951-01-11","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -20",",,G","  -44",",,G",,
"IT000016134","1951-01-12","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -20",",,G","  -48",",,G",,
"IT000016134","1951-01-13","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -30",",,G","  -78",",,G",,
"IT000016134","1951-01-14","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -34",",,G","  -88",",,G",,
"IT000016134","1951-01-15","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -30",",,G","  -84",",,G",,
"IT000016134","1951-01-16","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -64",",,G"," -112",",,G",,
"IT000016134","1951-01-17","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -2",",,G"," -112",",,G",,
"IT000016134","1951-01-18","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -2",",,G","  -66",",,G",,
"IT000016134","1951-01-19","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -30",",,G","  -84",",,G",,
"IT000016134","1951-01-20","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    6",",,G","  -84",",,G",,
"IT000016134","1951-01-21","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    6",",,G","  -10",",,G",,
"IT000016134","1951-01-22","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"    0",",,G","  -28",",,G",,
"IT000016134","1951-01-23","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -8",",,G","  -28",",,G",,
"IT000016134","1951-01-24","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"   -2",",,G","  -22",",,G",,
"IT000016134","1951-01-25","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -10",",,G","  -54",",,G",,
"IT000016134","1951-01-26","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -32",",,G","  -72",",,G",,
"IT000016134","1951-01-27","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -30",",,G","  -64",",,G",,
"IT000016134","1951-01-28","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -14",",,G","  -40",",,G",,
"IT000016134","1951-01-29","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -42",",,G","  -60",",,G",,
"IT000016134","1951-01-30","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -40",",,G","  -62",",,G",,
"IT000016134","1951-01-31","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -50",",,G","  -68",",,G",,
"IT000016134","1951-02-01","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -48",",,G","  -72",",,G",,
"IT000016134","1951-02-02","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -50",",,G","  -69",",,G",,
"IT000016134","1951-02-03","44.2","10.7","2165.0","MONTE CIMONE, IT",,,,,"  -24",",,G","  -78",",,G",,
